Y,M,D,SR_MJ
2001,7,18,22.85040974
2001,7,19,18.53561371
2001,7,20,21.72249957
2001,7,21,21.63486987
2001,7,22,22.84783239
2001,7,23,22.50504564
2001,7,24,22.56464672
2001,7,25,23.01825926
2001,7,26,23.01503758
2001,7,27,22.4460889
2001,7,28,22.29048175
2001,7,29,19.45475902
2001,7,30,4.816089432
2001,7,31,22.2144501
2001,8,1,20.11810293
2001,8,2,21.87327419
2001,8,3,20.66127818
2001,8,4,20.20218878
2001,8,5,21.73570846
2001,8,6,21.35555022
2001,8,7,19.2656464
2001,8,8,20.79143405
2001,8,9,11.5568105
2001,8,10,19.99374608
2001,8,11,19.32718049
2001,8,12,13.53653286
2001,8,13,15.49853598
2001,8,14,18.88226648
2001,8,15,18.92350398
2001,8,16,19.24373898
2001,8,17,18.81235602
2001,8,18,19.55173158
2001,8,19,19.89548484
2001,8,20,19.84200495
2001,8,21,19.24277247
2001,8,22,15.72212057
2001,8,23,18.01402372
2001,8,24,19.08587666
2001,8,25,19.29593019
2001,8,26,19.14290039
2001,8,27,18.87356794
2001,8,28,18.48084515
2001,8,29,18.27208029
2001,8,30,17.27239298
2001,8,31,16.5423603
2001,9,1,17.44894105
2001,9,2,17.80397018
2001,9,3,17.69314439
2001,9,4,12.60127915
2001,9,5,15.10742402
2001,9,6,15.15252754
2001,9,7,17.81138005
2001,9,8,17.70442027
2001,9,9,17.33811526
2001,9,10,16.00144022
2001,9,11,15.8899701
2001,9,12,10.54262563
2001,9,13,10.3586677
2001,9,14,15.63867906
2001,9,15,13.23111759
2001,9,16,13.66024537
2001,9,17,15.17669014
2001,9,18,14.25239015
2001,9,19,15.59711938
2001,9,20,15.53268578
2001,9,21,14.5932439
2001,9,22,14.94601786
2001,9,23,13.82873923
2001,9,24,14.38963372
2001,9,25,3.946558
2001,9,26,14.04040361
2001,9,27,13.50077221
2001,9,28,9.66504
2001,9,29,14.4885393
2001,9,30,14.26527687
2001,10,1,13.93505467
2001,10,2,13.56166196
2001,10,3,13.72983366
2001,10,4,13.59355659
2001,10,5,13.56101762
2001,10,6,12.47273412
2001,10,7,10.55390151
2001,10,8,12.36126399
2001,10,9,12.6289856
2001,10,10,9.795195872
2001,10,11,10.7845738
2001,10,12,9.818391968
2001,10,13,12.29360871
2001,10,14,9.059041992
2001,10,15,11.52813754
2001,10,16,9.66665084
2001,10,17,9.618969976
2001,10,18,11.51331782
2001,10,19,11.06711514
2001,10,20,9.408594272
2001,10,21,8.939839832
2001,10,22,4.878912192
2001,10,23,9.1334628
2001,10,24,10.2117591
2001,10,25,7.571592336
2001,10,26,10.02586816
2001,10,27,5.102174616
2001,10,28,2.536106496
2001,10,29,4.499720456
2001,10,30,1.167536832
2001,10,31,4.79708152
2001,11,1,5.065125296
2001,11,2,8.248145136
2001,11,3,9.339328152
2001,11,4,9.172767296
2001,11,5,8.010385152
2001,11,6,5.154365832
2001,11,7,8.76135876
2001,11,8,8.731719304
2001,11,9,8.422438024
2001,11,10,7.98493388
2001,11,11,7.222040056
2001,11,12,6.284853344
2001,11,13,5.920159168
2001,11,14,3.681735904
2001,11,15,7.400521128
2001,11,16,5.581238432
2001,11,17,0.793499784
2001,11,18,6.492329536
2001,11,19,5.846060528
2001,11,20,4.172397768
2001,11,21,4.849272736
2001,11,22,2.40981664
2001,11,23,3.860216976
2001,11,24,1.442990472
2001,11,25,1.5544606
2001,11,26,6.455924552
2001,11,27,6.051281544
2001,11,28,0.717790304
2001,11,29,2.721353096
2001,11,30,4.908873816
2001,12,1,2.075084088
2001,12,2,1.056066704
2001,12,3,3.77097644
2001,12,4,3.086691608
2001,12,5,2.052854496
2001,12,6,2.974899312
2001,12,7,5.912749304
2001,12,8,4.455261272
2001,12,9,4.745212472
2001,12,10,4.353134016
2001,12,11,2.628568712
2001,12,12,2.858274496
2001,12,13,0.79575496
2001,12,14,4.142758312
2001,12,15,6.083820512
2001,12,16,1.420438712
2001,12,17,2.707177704
2001,12,18,4.299009792
2001,12,19,3.42142416
2001,12,20,3.763566576
2001,12,21,1.8444118
2001,12,22,4.782261792
2001,12,23,3.84507508
2001,12,24,1.072497272
2001,12,25,4.0029374
2001,12,26,1.105358408
2001,12,27,2.66271852
2001,12,28,5.005524216
2001,12,29,1.487449656
2001,12,30,3.525484424
2001,12,31,1.993253416
2002,1,1,5.228464472
2002,1,2,1.956204096
2002,1,3,1.152717104
2002,1,4,2.476827584
2002,1,5,2.44686596
2002,1,6,1.859553696
2002,1,7,2.142095032
2002,1,8,1.658520864
2002,1,9,2.134685168
2002,1,10,4.16563224
2002,1,11,3.818335136
2002,1,12,5.165319544
2002,1,13,6.180470912
2002,1,14,6.492973872
2002,1,15,5.570606888
2002,1,16,5.607978376
2002,1,17,1.769990992
2002,1,18,6.969138176
2002,1,19,2.421414688
2002,1,20,0.548974272
2002,1,21,2.501956688
2002,1,22,4.25583928
2002,1,23,7.021007224
2002,1,24,4.834453008
2002,1,25,2.15691476
2002,1,26,3.04932012
2002,1,27,6.143421592
2002,1,28,8.27810676
2002,1,29,8.36348128
2002,1,30,4.986838472
2002,1,31,4.172397768
2002,2,1,4.246818576
2002,2,2,8.553238232
2002,2,3,8.895380648
2002,2,4,9.029080368
2002,2,5,9.244932928
2002,2,6,7.794532592
2002,2,7,3.451063616
2002,2,8,5.198825016
2002,2,9,9.921807896
2002,2,10,9.140872664
2002,2,11,9.67631588
2002,2,12,9.958857216
2002,2,13,8.151494736
2002,2,14,10.1151087
2002,2,15,10.64990758
2002,2,16,8.568702296
2002,2,17,5.369896224
2002,2,18,10.3084095
2002,2,19,2.85601932
2002,2,20,9.691135608
2002,2,21,6.749741768
2002,2,22,9.493968792
2002,2,23,3.064139848
2002,2,24,9.177921984
2002,2,25,12.42827494
2002,2,26,10.65119625
2002,2,27,12.27878898
2002,2,28,11.75139997
2002,3,1,10.45725111
2002,3,2,13.08195381
2002,3,3,13.1354337
2002,3,4,12.33162454
2002,3,5,10.63573218
2002,3,6,6.9346662
2002,3,7,2.808338456
2002,3,8,10.41987962
2002,3,9,9.705955336
2002,3,10,3.889856432
2002,3,11,5.451726896
2002,3,12,5.332846904
2002,3,13,10.51685219
2002,3,14,12.92634666
2002,3,15,10.6727815
2002,3,16,8.1589046
2002,3,17,8.622504352
2002,3,18,13.94310887
2002,3,19,5.176595424
2002,3,20,10.70274313
2002,3,21,13.74014303
2002,3,22,11.37639642
2002,3,23,3.183342008
2002,3,24,5.51873784
2002,3,25,9.921807896
2002,3,26,15.8094281
2002,3,27,14.90027
2002,3,28,12.39090345
2002,3,29,15.81458278
2002,3,30,16.81427009
2002,3,31,17.57490874
2002,4,1,16.11709854
2002,4,2,15.94602733
2002,4,3,18.14031358
2002,4,4,18.16254317
2002,4,5,12.4356848
2002,4,6,17.79817116
2002,4,7,18.51950531
2002,4,8,18.34102424
2002,4,9,4.328649248
2002,4,10,11.40184769
2002,4,11,13.06777842
2002,4,12,17.73116022
2002,4,13,8.765869112
2002,4,14,11.98497177
2002,4,15,12.33162454
2002,4,16,10.24913058
2002,4,17,9.117676568
2002,4,18,6.813531032
2002,4,19,20.50534886
2002,4,20,19.50211771
2002,4,21,17.34359211
2002,4,22,20.52016859
2002,4,23,21.37552463
2002,4,24,21.2862841
2002,4,25,20.69864966
2002,4,26,18.11035195
2002,4,27,19.91771443
2002,4,28,21.44994544
2002,4,29,18.23406446
2002,4,30,7.172748352
2002,5,1,20.55754008
2002,5,2,21.10039316
2002,5,3,21.81431745
2002,5,4,21.9557492
2002,5,5,12.36126399
2002,5,6,19.83588376
2002,5,7,18.16254317
2002,5,8,22.31271134
2002,5,9,17.63450982
2002,5,10,20.64678062
2002,5,11,22.98217645
2002,5,12,22.66967349
2002,5,13,19.52370297
2002,5,14,23.28694738
2002,5,15,21.32365558
2002,5,16,22.84815456
2002,5,17,19.08716533
2002,5,18,20.73376598
2002,5,19,21.10039316
2002,5,20,9.936627624
2002,5,21,10.36060071
2002,5,22,17.68670103
2002,5,23,17.04687538
2002,5,24,20.66160034
2002,5,25,19.55334242
2002,5,26,17.73857008
2002,5,27,21.04046991
2002,5,28,18.44572884
2002,5,29,19.96249578
2002,5,30,20.84008142
2002,5,31,22.70704498
2002,6,1,7.983645208
2002,6,2,22.30240197
2002,6,3,23.44770921
2002,6,4,21.51244603
2002,6,5,23.27502716
2002,6,6,23.98315242
2002,6,7,21.96541424
2002,6,8,20.53305531
2002,6,9,11.62478794
2002,6,10,15.98339882
2002,6,11,23.45801858
2002,6,12,23.79275114
2002,6,13,24.22413409
2002,6,14,23.36136818
2002,6,15,23.53243939
2002,6,16,23.55466898
2002,6,17,18.00629169
2002,6,18,14.44440228
2002,6,19,24.14165908
2002,6,20,23.96382234
2002,6,21,17.76079967
2002,6,22,19.81365417
2002,6,23,20.8996825
2002,6,24,23.23507833
2002,6,25,23.42837913
2002,6,26,20.61681899
2002,6,27,21.15258438
2002,6,28,13.96018378
2002,6,29,21.00374276
2002,6,30,23.76311168
2002,7,1,24.11266396
2002,7,2,23.58463061
2002,7,3,21.65806597
2002,7,4,23.77793141
2002,7,5,20.49052914
2002,7,6,21.9557492
2002,7,7,17.37419807
2002,7,8,23.44319886
2002,7,9,23.55466898
2002,7,10,23.85976208
2002,7,11,23.64390952
2002,7,12,23.12328603
2002,7,13,20.96637127
2002,7,14,18.08812236
